customer ID,Age,Gender,Climate,Religion,Purchase power
1048,60,1,3,3,88000
1049,29,0,2,2,37000
1050,43,1,1,1,55000
1051,34,0,0,0,46000
1052,56,1,3,3,82000
1053,25,0,2,2,32000
1054,40,1,1,1,58000
1055,33,0,0,0,47000
1056,57,1,3,3,91000
1057,27,0,2,2,36000
1058,44,1,1,1,60000
1059,30,0,0,0,43000
1060,55,1,3,3,75000
1061,31,0,2,2,41000
1062,53,1,3,3,79000
1063,26,0,0,0,35000
1064,47,1,1,1,63000
1065,35,0,2,2,45000
1066,52,1,3,3,77000
1067,24,0,0,0,34000
1068,46,1,1,1,62000
1069,37,0,2,2,49000
1070,54,1,3,3,81000
1071,23,0,0,0,33000
1072,48,1,1,1,64000
1073,38,0,2,2,50000
1074,59,1,3,3,92000
1075,22,0,0,0,32000
1076,41,1,1,1,56000
1077,36,0,2,2,48000
1078,58,1,3,3,89000
1079,28,0,0,0,39000
1080,45,1,1,1,61000
1081,39,0,2,2,53000
1082,51,1,3,3,83000
1083,29,0,0,0,38000
1084,42,1,1,1,59000
1085,34,0,2,2,46000
1086,56,1,3,3,84000
1087,27,0,0,0,37000
1088,49,1,1,1,65000
1089,31,0,2,2,44000
1090,50,1,3,3,76000
1091,25,0,0,0,36000
1092,43,1,1,1,60000
1093,33,0,2,2,43000
1094,57,1,3,3,86000
1095,24,0,0,0,35000
1096,60,1,1,1,85000
1097,30,0,2,3,47000
1098,40,1,3,2,68000
1099,53,0,0,0,72000
1100,21,1,2,1,30000
1101,51,0,1,3,82000
1102,36,1,2,2,55000
1103,46,0,3,1,66000
1104,28,1,0,3,35000
1105,59,0,1,0,90000
1106,32,1,2,2,51000
1107,49,0,3,1,70000
1108,23,1,0,3,32000
1109,57,0,1,0,88000
1110,39,1,2,2,57000
1111,47,0,3,1,73000
1112,29,1,0,3,36000
1113,55,0,1,0,87000
1114,35,1,2,2,54000
1115,44,0,3,1,71000
1116,26,1,0,3,33000
1117,54,0,1,0,89000
1118,38,1,2,2,56000
1119,45,0,3,1,74000
1120,27,1,0,3,34000
1121,56,0,1,0,91000
1122,33,1,2,2,52000
1123,48,0,3,1,75000
1124,24,1,0,3,31000
1125,58,0,1,0,93000
1126,31,1,2,2,50000
1127,43,0,3,1,77000
1128,25,1,0,3,30000
1129,52,0,1,0,86000
1130,37,1,2,2,58000
1131,42,0,3,1,76000
1132,22,1,0,3,29000
1133,50,0,1,0,84000
1134,34,1,2,2,53000
1135,41,0,3,1,72000
1136,21,1,0,3,28000
1137,53,0,1,0,85000
1138,36,1,2,2,57000
1139,46,0,3,1,78000
1140,20,1,0,3,27000
1141,51,0,1,0,83000
1142,35,1,2,2,56000
1143,44,0,3,1,79000
1144,30,0,1,1,65000
1145,40,1,2,3,59000
1146,50,0,0,0,90000
1147,25,1,3,2,35000
1148,35,0,1,1,70000
1149,45,1,2,3,60000
1150,55,0,0,0,80000
1151,20,1,3,2,25000
1152,30,0,1,1,68000
1153,40,1,2,3,58000
1154,50,0,0,0,85000
1155,25,1,3,2,32000
1156,35,0,1,1,72000
1157,45,1,2,3,56000
1158,55,0,0,0,82000
1159,20,1,3,2,24000
1160,30,0,1,1,66000
1161,40,1,2,3,57000
1162,50,0,0,0,83000
1163,25,1,3,2,33000
1164,35,0,1,1,71000
1165,45,1,2,3,55000
1166,55,0,0,0,81000
1167,20,1,3,2,23000
1168,30,0,1,1,67000
1169,40,1,2,3,54000
1170,50,0,0,0,84000
1171,25,1,3,2,31000
1172,35,0,1,1,73000
1173,45,1,2,3,53000
1174,55,0,0,0,86000
1175,20,1,3,2,22000
1176,30,0,1,1,64000
1177,40,1,2,3,52000
1178,50,0,0,0,87000
1179,25,1,3,2,30000
1180,35,0,1,1,74000
1181,45,1,2,3,51000
1182,55,0,0,0,85000
1183,20,1,3,2,21000
1184,30,0,1,1,65000
1185,40,1,2,3,50000
1186,50,0,0,0,88000
1187,25,1,3,2,34000
1188,35,0,1,1,75000
1189,45,1,2,3,54000
1190,55,0,0,0,89000
1191,20,1,3,2,20000
1192,32,0,2,1,69000
1193,47,1,1,3,56000
1194,58,0,3,0,82000
1195,28,1,0,2,35000
1196,36,0,2,1,72000
1197,48,1,1,3,57000
1198,59,0,3,0,83000
1199,29,1,0,2,36000
1200,37,0,2,1,73000
1201,49,1,1,3,58000
1202,60,0,3,0,84000
1203,30,1,2,1,68000
1204,45,0,1,3,55000
1205,53,1,3,2,81000
1206,31,0,0,1,69000
1207,46,1,2,3,56000
1208,54,0,3,0,83000
1209,32,1,1,2,37000
1210,47,0,2,1,70000
1211,55,1,1,3,59000
1212,33,0,3,0,80000
1213,48,1,0,2,38000
1214,56,0,2,1,71000
1215,34,1,1,3,60000
1216,57,0,3,0,85000
1217,35,1,2,1,74000
1218,49,0,1,3,57000
1219,58,1,3,2,86000
1220,36,0,0,1,70000
1221,50,1,2,3,61000
1222,37,0,3,0,87000
1223,51,1,1,2,62000
1224,38,0,2,1,75000
1225,52,1,3,3,63000
1226,39,0,1,2,76000
1227,53,1,0,3,64000
1228,40,0,3,1,77000
1229,54,1,2,2,65000
1230,41,0,1,3,78000
1231,55,1,3,0,66000
1232,42,0,2,1,79000
1233,56,1,1,3,67000
1234,43,0,3,2,80000
1235,57,1,2,0,68000
1236,44,0,1,3,81000
1237,58,1,3,1,69000
1238,45,0,2,2,82000
1239,59,1,1,0,70000
12399,25,0,1,1,35000
12400,45,1,2,3,68000
12401,38,0,3,0,72000
12402,51,1,1,2,56000
12403,28,0,0,1,29000
12404,63,1,3,3,95000
12405,42,0,2,2,73000
12406,31,1,1,0,31000
12407,59,0,3,1,83000
12408,22,1,0,3,20000
12409,48,0,1,2,64000
12410,36,1,2,0,36000
12411,55,0,3,1,88000
12412,27,1,1,3,25000
12413,49,0,2,2,78000
12414,33,1,0,0,33000
12415,52,0,3,3,86000
12416,26,1,1,1,22000
12417,47,0,2,1,69000
12418,34,1,3,2,34000
12419,58,0,1,0,90000
12420,23,1,0,3,18000
12421,46,0,3,1,77000
12422,35,1,2,2,35000
12423,50,0,1,3,81000
12424,24,1,0,0,19000
12425,44,0,2,1,67000
